geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,accessibility_index,pop_density_per_sq_km,ZONE_NAME,WARD_NO
"POLYGON ((75.71866861818552 26.872248634445047, 75.71872570953234 26.881276674311003, 75.72879345034862 26.88122510830746, 75.72873555945094 26.872197088499508, 75.71866861818552 26.872248634445047))",POINT (75.72373083438109 26.87673696747598),,3792395972,POINT (571755.7157676127 2972678.2181880553),8120330779.0,NARAIN VIHAR,32,534,8.899999982199999,35.0,21.5,30.3999999822,0.98684210584098,0.5,0.4934210529204899,7982.795325819863,JHOTWARA ANSIK,14
"POLYGON ((75.71872570953234 26.881276674311003, 75.7187828277032 26.89030470252727, 75.72885136844596 26.890253116462624, 75.72879345034862 26.88122510830746, 75.71872570953234 26.881276674311003))",POINT (75.72378833900925 26.88576499152252),,3783279351,POINT (571126.7639187786 2973130.450876301),8120330622.0,KAMLA NEHRU NAGAR,32,2177,36.28333326076667,35.0,21.5,57.78333326076667,0.5191808486473936,0.5,0.2595904243236968,7982.795325819863,JHOTWARA ANSIK,14
"POLYGON ((75.7187828277032 26.89030470252727, 75.7188399727073 26.899332719091127, 75.72890931375228 26.89928111296225, 75.72885136844596 26.890253116462624, 75.7187828277032 26.89030470252727))",POINT (75.72384587065392 26.89479300391647),,3783280550,POINT (572449.0385388383 2975821.864296606),3783281467.0,CHITRKOOT PULIYA,AC1,1302,21.6999999566,16.0,12.0,33.6999999566,0.8902077162799709,0.5,0.4451038581399854,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.7188399727073 26.899332719091127, 75.71889714455385 26.908360723999873, 75.72896728627694 26.90830909780368, 75.72890931375228 26.89928111296225, 75.7188399727073 26.899332719091127))",POINT (75.72390342932432 26.903821004655107),,3779550877,POINT (572383.7528785177 2976191.0059846137),2393625661.0,GANDHI PATH,14,679,11.316666644033331,15.0,11.5,22.816666644033333,1.3148283431596326,0.5,0.6574141715798163,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.71889714455385 26.908360723999873, 75.71895434325201 26.917388717250823, 75.72902528602924 26.917337070984193, 75.72896728627694 26.90830909780368, 75.71889714455385 26.908360723999873))",POINT (75.72396101502973 26.91284899373574),,3779745492,POINT (572441.0354450961 2976779.839798312),3779496211.0,KARNI PLACE,14,732,12.1999999756,15.0,11.5,23.6999999756,1.2658227861133364,0.5,0.6329113930566682,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.71895434325201 26.917388717250823, 75.71901156881101 26.926416698841248, 75.7290833130185 26.926365032501078, 75.72902528602924 26.917337070984193, 75.71895434325201 26.917388717250823))",POINT (75.72401862777942 26.921876971155662),,3780705655,POINT (571821.8273111386 2977989.9575987216),8609324988.0,ALANKAR COLLAGE,"AC5, AC1",99,1.6499999967,16.0,12.0,13.6499999967,2.1978021983335347,0.5,1.0989010991667674,9560.825432003918,JHOTWARA ANSIK,11
"POLYGON ((75.71901156881101 26.926416698841248, 75.71906882124007 26.935444668768458, 75.72914136725407 26.935392982351637, 75.7290833130185 26.926365032501078, 75.71901156881101 26.926416698841248))",POINT (75.72407626758265 26.930904936912167),,4806907437,POINT (572503.928735047 2979199.5753864986),3790077932.0,KHIRNI PHATAK PULIYA,"6A, 7",1997,33.28333326676667,8.0,8.0,41.28333326676667,0.7266855078330164,1.0,0.7266855078330164,9560.825432003918,JHOTWARA ANSIK,11
"POLYGON ((75.71906882124007 26.935444668768458, 75.71912610054838 26.944472627029757, 75.72919944874532 26.94442092053316, 75.72914136725407 26.935392982351637, 75.71906882124007 26.935444668768458))",POINT (75.72413393444869 26.939932891002556),,8634969467,POINT (571992.1993706899 2980762.6573393107),4787547480.0,SHEKHAWAT MARG,24,975,16.2499999675,35.0,21.5,37.7499999675,0.7947019874391473,0.5,0.3973509937195736,9560.825432003918,JHOTWARA ANSIK,11
"POLYGON ((75.71912610054838 26.944472627029757, 75.71918340674519 26.953500573622456, 75.72925755750158 26.953448847042957, 75.72919944874532 26.94442092053316, 75.71912610054838 26.944472627029757))",POINT (75.72419162838685 26.94896083342413),,8637669383,POINT (571992.1993706899 2980762.6573393107),4787547480.0,SHEKHAWAT MARG,24,634,10.566666645533331,35.0,21.5,32.06666664553333,0.9355509361675044,0.5,0.4677754680837522,9560.825432003918,JHOTWARA ANSIK,11
"POLYGON ((75.71918340674519 26.953500573622456, 75.71924073983969 26.96252850854381, 75.72931569353219 26.96247676187832, 75.72925755750158 26.953448847042957, 75.71918340674519 26.953500573622456))",POINT (75.72424934940639 26.957988764174193),,3956494244,POINT (573043.0594942322 2982111.454963078),3901285130.0,BY PASS,1A,1469,24.483333284366665,20.0,14.0,38.483333284366665,0.7795582513167355,0.5,0.3897791256583677,9560.825432003918,JHOTWARA ANSIK,11
