geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,bus_ptal,pop_density_per_sq_km,ZONE_NAME,WARD_NO,index_right,metro_ptal,accessibility_index,population_density,pop_density_cat,accessibility_cat,bivariate_cat
"POLYGON ((75.76842728976283 26.927589040970727, 75.76890649055007 26.92292624536134, 75.77394251293062 26.921017020040257, 75.77849974135852 26.92377024847352, 75.77802121065952 26.928433086697044, 75.77298478143118 26.930342653905264, 75.76842728976283 26.927589040970727))",POINT (75.7734636633314 26.92567981619823),,3780586524,POINT (576904.7906106997 2977358.426599397),9713760510.0,HASANPURA,AC8,3059.0,50.983333231366665,8.0,8.0,58.983333231366665,0.5086182546232627,1.0,0.5086182546232627,6935.376314601546,CIVIL LINES,19.0,474,0.6164383571945956,1.1250566118178584,6935.376314601546,B,3,3B
"POLYGON ((75.77990960412066 26.815755553407435, 75.78038719721816 26.81109916238075, 75.78541438930682 26.809192628663425, 75.789964393544 26.81194214434729, 75.78948746832566 26.8165985778608, 75.78445987097788 26.818505453235666, 75.77990960412066 26.815755553407435))",POINT (75.7849371461609 26.81384902008456),,4733663749,POINT (577924.0948502823 2966262.9206471182),3786560755.0,SANGANER TOWN,"3A,AC1",162.0,2.6999999946,8.0,8.0,10.6999999946,2.8037383191719805,1.0,2.8037383191719805,20026.15494238024,SANGANER,30.0,501,0.1663893513995439,2.9701276705715243,20026.15494238024,B,3,3B
"POLYGON ((75.8476701190795 27.005141455520256, 75.8481442841148 27.000474290530356, 75.8531831975929 26.998560247422603, 75.85774835220457 27.001313026381155, 75.85727485899072 27.005980232546783, 75.85223553933075 27.007894618610283, 75.8476701190795 27.005141455520256))",POINT (75.85270938411169 27.003227412241863),,543081621,POINT (584868.4424527058 2985406.7869678596),3590694363.0,AMER,AC1,568.0,9.466666647733334,20.0,14.0,23.466666647733334,1.2784090919405346,0.5,0.6392045459702673,2659.749587464012,AMER ANSIK,77.0,409,0.1923693495153709,0.8315738954856382,2659.749587464012,A,2,2A
"POLYGON ((75.70562485983865 26.879709580152152, 75.70610814051402 26.875049486248727, 75.71114288329659 26.873143701105683, 75.71569475292505 26.87589766881788, 75.71521214123429 26.880557806463425, 75.71017699091706 26.882463932686704, 75.70562485983865 26.879709580152152))",POINT (75.71065995365876 26.877803796132515),,8611672894,POINT (571126.7639187786 2973130.450876301),8120330622.0,KAMLA NEHRU NAGAR,"26,32",785.0,13.083333307166669,120.0,64.0,77.08333330716667,0.3891891893213031,0.5,0.1945945946606515,4127.213848731749,SANGANER,29.0,55,0.2107234843593661,0.4053180790200176,4127.213848731749,A,1,1A
"POLYGON ((75.8245661502367 26.946634252524014, 75.82504152978198 26.941970404697663, 75.83007690038446 26.940058754841655, 75.8346372973699 26.942810610311046, 75.83416258842117 26.94747449975729, 75.82912681187743 26.949386492146353, 75.8245661502367 26.946634252524014))",POINT (75.82960187191001 26.944722602692778),,3993087490,POINT (583117.8096858803 2980046.0517907757),2265674528.0,GOVIND NAGAR,"AC1,30,34",1348.0,22.46666662173333,120.0,64.0,86.46666662173334,0.3469545105889339,0.5,0.1734772552944669,13122.26913467182,HAWA MAHAL,71.0,196,0.4724409457077315,0.6459182010021984,13122.26913467182,B,2,2B
"POLYGON ((75.73675736464864 26.95303457431881, 75.73723898031255 26.94837031009464, 75.74227809025231 26.94646145991731, 75.74683599231325 26.949216532362144, 75.7463550471741 26.953880839737675, 75.74131552943585 26.95579003154915, 75.73675736464864 26.95303457431881))",POINT (75.74179682622183 26.951125725000686),,4586616918,POINT (573849.5317572036 2980494.204117733),3901285136.0,JHOTWARA KANTA,"AC2,6A,24",1058.0,17.633333298066667,11.0,9.5,27.133333298066667,1.1056511070881805,0.5,0.5528255535440902,4349.745063944651,,,405,0.2100350062308479,0.7628605597749382,4349.745063944651,A,2,2A
"POLYGON ((75.84393844706617 26.898936609220495, 75.84441212316953 26.894275497375972, 75.84944318616107 26.89236450767821, 75.85400097800684 26.89511428727093, 75.8535279715878 26.89977544042901, 75.8484965036257 26.90168677271293, 75.84393844706617 26.898936609220495))",POINT (75.84896986051866 26.897025619345293),,3783477384,POINT (583834.8912905324 2976133.991026005),6728974090.0,T.P. NAGAR,"3,1A,14,32",970.0,16.166666634333332,35.0,21.5,37.66666663433333,0.7964601776748376,0.5,0.3982300888374188,6564.253665162864,ADARSH NAGAR,48.0,162,0.384697585644516,0.7829276744819348,6564.253665162864,B,2,2B
"POLYGON ((75.89203061107165 26.853775905304378, 75.89250058164977 26.84911741184337, 75.89752645947816 26.847206049817476, 75.90208277016589 26.84995283834043, 75.90161346847366 26.854611372306135, 75.89658718719502 26.856523077276254, 75.89203061107165 26.853775905304378))",POINT (75.89705683861563 26.851864542629148),,8631786434,POINT (589218.4437619437 2968700.1027040426),3833792418.0,DANTLI PHATAK,"AC7,27",1858.0,30.966666604733334,15.0,11.5,42.46666660473333,0.706436421752401,0.5,0.3532182108762005,2161.559325661986,BAGRU ANSIK,34.0,206,0.1463176722044818,0.4995358830806823,2161.559325661986,A,1,1A
"POLYGON ((75.84109499628033 26.926908879564987, 75.84156907078618 26.922246168126026, 75.8466023425258 26.920334502638948, 75.85116194511339 26.923085205978964, 75.85068854084557 26.927747958762165, 75.84565486373911 26.929659966893226, 75.84109499628033 26.926908879564987))",POINT (75.84612861879015 26.924997213938415),,8605133205,POINT (582938.6804603685 2977991.081703344),2688139238.0,RAMGANJ CHOPAD,1,1910.0,31.833333269666664,11.0,9.5,41.33333326966667,0.7258064527308793,0.5,0.3629032263654396,11417.992616303596,ADARSH NAGAR,55.0,29,0.5497861951961531,0.9126894215615928,11417.992616303596,B,2,2B
"POLYGON ((75.83187789454001 26.827369582077495, 75.832351913314 26.822712558449496, 75.83737804932295 26.820803953286656, 75.84193057089459 26.82355202954813, 75.84145722034795 26.82820909474869, 75.83643067998938 26.830118042147276, 75.83187789454001 26.827369582077495))",POINT (75.83690438032941 26.82546097682291),,4725654954,POINT (582983.0737157963 2968588.516279088),8611217506.0,JAGATPURA PHATAK,AC7,2910.0,48.499999903,8.0,8.0,56.499999903,0.5309734522390164,1.0,0.5309734522390164,3336.9779937530966,BAGRU ANSIK,33.0,478,0.1309662400665215,0.661939692305538,3336.9779937530966,A,2,2A
